,date,Continent,Country,new_cases,new_deaths
0,2019-12-31,Asia,CHN,27.0,0.0
1,2020-01-01,Asia,CHN,0.0,0.0
2,2020-01-02,Asia,CHN,0.0,0.0
3,2020-01-03,Asia,CHN,17.0,0.0
4,2020-01-04,Asia,CHN,0.0,0.0
5,2020-01-05,Asia,CHN,15.0,0.0
6,2020-01-06,Asia,CHN,0.0,0.0
7,2020-01-07,Asia,CHN,0.0,0.0
8,2020-01-08,Asia,CHN,0.0,0.0
9,2020-01-09,Asia,CHN,0.0,0.0
10,2020-01-10,Asia,CHN,0.0,0.0
11,2020-01-11,Asia,CHN,0.0,1.0
12,2020-01-12,Asia,CHN,0.0,0.0
13,2020-01-13,Asia,CHN,0.0,0.0
14,2020-01-14,Asia,CHN,0.0,0.0
15,2020-01-15,Asia,CHN,0.0,1.0
16,2020-01-16,Asia,CHN,0.0,0.0
17,2020-01-17,Asia,CHN,4.0,0.0
18,2020-01-18,Asia,CHN,17.0,0.0
19,2020-01-19,Asia,CHN,136.0,1.0
20,2020-01-20,Asia,CHN,19.0,0.0
21,2020-01-21,Asia,CHN,151.0,3.0
22,2020-01-22,Asia,CHN,140.0,11.0
23,2020-01-23,Asia,CHN,97.0,0.0
24,2020-01-24,Asia,CHN,259.0,9.0
25,2020-01-25,Asia,CHN,441.0,15.0
26,2020-01-26,Asia,CHN,665.0,15.0
27,2020-01-27,Asia,CHN,787.0,25.0
28,2020-01-28,Asia,CHN,1753.0,25.0
29,2020-01-29,Asia,CHN,1466.0,26.0
30,2020-01-30,Asia,CHN,1740.0,38.0
31,2020-01-31,Asia,CHN,1980.0,43.0
32,2020-02-01,Asia,CHN,2095.0,46.0
33,2020-02-02,Asia,CHN,2590.0,45.0
34,2020-02-03,Asia,CHN,2812.0,57.0
35,2020-02-04,Asia,CHN,3237.0,65.0
36,2020-02-05,Asia,CHN,3872.0,66.0
37,2020-02-06,Asia,CHN,3727.0,72.0
38,2020-02-07,Asia,CHN,3160.0,73.0
39,2020-02-08,Asia,CHN,3418.0,86.0
40,2020-02-09,Asia,CHN,2607.0,89.0
41,2020-02-10,Asia,CHN,2974.0,97.0
42,2020-02-11,Asia,CHN,2490.0,108.0
43,2020-02-12,Asia,CHN,2028.0,97.0
44,2020-02-13,Asia,CHN,15141.0,254.0
45,2020-02-14,Asia,CHN,4156.0,13.0
46,2020-02-15,Asia,CHN,2538.0,143.0
47,2020-02-16,Asia,CHN,2007.0,142.0
48,2020-02-17,Asia,CHN,2052.0,105.0
49,2020-02-18,Asia,CHN,1890.0,98.0
50,2020-02-19,Asia,CHN,1750.0,139.0
51,2020-02-20,Asia,CHN,394.0,112.0
52,2020-02-21,Asia,CHN,891.0,118.0
53,2020-02-22,Asia,CHN,826.0,109.0
54,2020-02-23,Asia,CHN,647.0,98.0
55,2020-02-24,Asia,CHN,218.0,150.0
56,2020-02-25,Asia,CHN,515.0,70.0
57,2020-02-26,Asia,CHN,410.0,52.0
58,2020-02-27,Asia,CHN,439.0,29.0
59,2020-02-28,Asia,CHN,329.0,44.0
60,2020-02-29,Asia,CHN,428.0,47.0
61,2020-03-01,Asia,CHN,574.0,35.0
62,2020-03-02,Asia,CHN,205.0,42.0
63,2020-03-03,Asia,CHN,127.0,32.0
64,2020-03-04,Asia,CHN,119.0,37.0
65,2020-03-05,Asia,CHN,117.0,31.0
66,2020-03-06,Asia,CHN,170.0,30.0
67,2020-03-07,Asia,CHN,101.0,28.0
68,2020-03-08,Asia,CHN,46.0,27.0
69,2020-03-09,Asia,CHN,45.0,23.0
70,2020-03-10,Asia,CHN,20.0,17.0
71,2020-03-11,Asia,CHN,29.0,22.0
72,2020-03-12,Asia,CHN,24.0,11.0
73,2020-03-13,Asia,CHN,22.0,7.0
74,2020-03-14,Asia,CHN,19.0,15.0
75,2020-03-15,Asia,CHN,22.0,9.0
76,2020-03-16,Asia,CHN,25.0,13.0
77,2020-03-17,Asia,CHN,43.0,9.0
78,2020-03-18,Asia,CHN,23.0,16.0
79,2020-03-19,Asia,CHN,44.0,8.0
80,2020-03-20,Asia,CHN,99.0,4.0
81,2020-03-21,Asia,CHN,52.0,6.0
82,2020-03-22,Asia,CHN,65.0,6.0
83,2020-03-23,Asia,CHN,138.0,9.0
84,2020-03-24,Asia,CHN,69.0,7.0
85,2020-03-25,Asia,CHN,78.0,4.0
86,2020-03-26,Asia,CHN,102.0,6.0
87,2020-03-27,Asia,CHN,94.0,5.0
88,2020-03-28,Asia,CHN,119.0,3.0
89,2020-03-29,Asia,CHN,113.0,5.0
90,2020-03-30,Asia,CHN,98.0,2.0
91,2020-03-31,Asia,CHN,84.0,3.0
92,2020-04-01,Asia,CHN,54.0,1.0
93,2020-04-02,Asia,CHN,100.0,6.0
94,2020-04-03,Asia,CHN,70.0,10.0
95,2020-04-04,Asia,CHN,62.0,4.0
96,2020-04-05,Asia,CHN,48.0,3.0
97,2020-04-06,Asia,CHN,67.0,2.0
98,2020-04-07,Asia,CHN,56.0,0.0
99,2020-04-08,Asia,CHN,86.0,2.0
100,2020-04-09,Asia,CHN,86.0,2.0
101,2020-04-10,Asia,CHN,55.0,1.0
102,2020-04-11,Asia,CHN,79.0,3.0
103,2020-04-12,Asia,CHN,93.0,0.0
